sample_type GATA3 PTEN XBP1 ESR1 MUC1
Tumor 2.87 1.36 2.98 3.08 1.65
Tumor 2.17 0.43 2.55 2.39 3.08
Tumor 1.32 1.31 3.02 0.79 2.98
Tumor 1.84 0.81 3.13 2.5 -1.92
Tumor -6.03 0.25 -1.45 -4.86 -1.17
Tumor 1.8 1.31 4.04 2.8 3.53
Tumor -4.88 -0.24 -0.72 -4.49 -1.46
Tumor -3.14 -1.24 -1.19 -1.63 -0.99
Tumor 2.03 1.21 2.28 4.12 0.67
Tumor -0.29 0.29 -1.6 0.47 0.01
Tumor -0.8 -0.17 0.33 -1.8 1.04
Tumor 2.65 0.58 3.06 3.85 1.9
Tumor -2.31 0 -1.18 -3.25 -0.68
Tumor -3.76 0.46 -2.44 -4.21 -1.37
Tumor 3.93 0.71 2.09 4.07 1.26
Tumor -1.28 0.37 1.72 -1.46 2
Tumor 1.62 0.92 2.01 0.92 4.12
Tumor 1.87 -0.04 1.18 3.01 1.9
Tumor 1.47 0.15 1.51 0.43 -0.48
Tumor -2.96 1.36 -1.15 -1.44 1.46
Tumor 2.35 0.94 0.96 2.85 1.58
Tumor 2.46 0.64 2.45 4.36 2.86
Tumor 3.37 -0.14 2.45 4.52 3.04
Tumor 2.98 0.27 3.19 3.99 -0.15
Tumor 2.26 0.47 2.78 5.13 1.28
Tumor 1.99 0.98 1.44 3.64 3.01
Tumor 1.54 0.46 1.62 4.53 -0.24
Tumor 1.48 0.86 1.03 -1.27 2.03
Tumor 0.04 0.64 1.14 4.39 2.66
Tumor 2.31 0.98 0.42 1.66 1.55
Tumor -2.2 0.34 -1.81 -4.63 1.01
Tumor 1.82 1.1 2.16 -2.72 -2.58
Tumor -1.29 -0.7 -0.87 -2.59 -0.97
Tumor 2.98 0.27 2.93 3.19 3.45
Tumor 2.13 -0.13 2.48 3.56 -0.4
Tumor 1.99 1.36 2.36 4.17 3.24
Tumor 1.38 0.78 1.93 3.44 2.82
Tumor 1.8 1.25 2.48 3.26 3.04
Tumor 1.83 0.73 1.88 0.11 -0.11
Tumor 2.95 1.03 3.49 4.59 1.04
Tumor 0.79 1.12 3.35 3.19 2.26
Tumor 2.79 1.01 1.88 4.39 1.06
Tumor 2.64 0.55 3.47 4.44 0.64
Tumor 1.71 0.93 2.53 3.99 2.93
Tumor 1.55 1.34 2.54 3.55 2.96
Tumor 1.76 1.09 2.3 2.3 2.15
Tumor 1.22 0.4 2.71 2.93 2.5
Tumor -0.08 1.11 0.6 0.62 0.02
Tumor 2.83 0.56 2.29 5.06 2.27
Tumor 1.83 0.34 1.88 1.89 2.59
Tumor 0.36 0.82 1.5 3.47 2.74
Tumor -1.74 1.22 0.38 -1.14 -0.5
Tumor 2.09 1.25 3.7 3.87 3.45
Tumor 0.34 -0.55 0.84 -2 2.34
Tumor 0.11 0.39 1.44 -2.69 1.19
Tumor 0.16 -1.12 -1.75 -2.88 2.56
Tumor 2.12 1.27 2.98 3.59 1.13
Tumor 2.37 1.14 2.48 4.27 2.52
Tumor 1.94 0.94 2.68 2.79 2.88
Tumor 1.93 1.39 1.27 2.07 2.72
Tumor 1.7 1.09 1.91 1.69 3.24
Tumor 2.25 2.2 4.03 4.37 2.69
Tumor 2.19 0.86 2.15 3.93 3.67
Tumor -2.94 -1.58 -0.92 -3.9 0.46
